Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product subtitle (product.metafields.descriptors.subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),video (product.metafields.my_fields.video),Chamois type (product.metafields.next_cart.chamois-type),Colección Agu (product.metafields.next_cart.coleccion-agu),Color (product.metafields.next_cart.color),Color Anteojo (product.metafields.next_cart.color-anteojo),Cross-sell Products (product.metafields.next_cart.complementary_products),Genero (product.metafields.next_cart.genero),Height (product.metafields.next_cart.height),ISBN (product.metafields.next_cart.isbn),Length (product.metafields.next_cart.length),Short Description (product.metafields.next_cart.short_description),Talla (product.metafields.next_cart.talla),Talla accesorios (product.metafields.next_cart.talla-accesorios),Temperatura (product.metafields.next_cart.temperatura),Temporada (product.metafields.next_cart.temporada),Tipo Lente (product.metafields.next_cart.tipo-lente),Up-sell Products (product.metafields.next_cart.up_sell_products),Width (product.metafields.next_cart.width),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Compatible bike type (product.metafields.shopify.compatible-bike-type),Compatible eyewear type (product.metafields.shopify.compatible-eyewear-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Lens color (product.metafields.shopify.lens-color),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Optical frame design (product.metafields.shopify.optical-frame-design),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),UV protection (product.metafields.shopify.uv-protection),Vehicle placement (product.metafields.shopify.vehicle-placement),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Chile,Price / Chile,Compare At Price / Chile,Status
tricota-manga-larga-ciclismo-hombre-agu-merino-six6-french-oak,,,,,,,,,M,,,,,,,,45326100-569-04,0.0,shopify,1,deny,manual,159990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/AGU_Six6_Merino_Cykeltroeje_French_Oa_1695987881_01.jpg?v=1781787959,2,Tricota Manga Larga AGU Merino SIX6 French Oak - vista trasera bolsillos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/AGU_Six6_Merino_Cykeltroeje_French_Oa_1695987881.jpg?v=1781787959,kg,,,,,,
tricota-manga-larga-ciclismo-hombre-agu-merino-six6-french-oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/AGU_Six6_Merino_Cykeltroeje_French_Oa_1695987881_02.jpg?v=1781787959,3,Tricota Manga Larga AGU Merino SIX6 French Oak - detalle cuello y cierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolsa-snack-manillar-bicicleta-agu-venture-highland-green,Bolsa Snack AGU Venture Highland Green | Snack Pack Manillar Bicicleta,"<p>La <strong>Bolsa Snack AGU Venture Highland Green</strong> es el compañero ideal para ciclistas que quieren mantener la energía al alcance de la mano sin interrumpir el pedaleo. Con un diseño compacto que se monta en el manillar de tu bicicleta, accedes a barritas, geles, frutos secos o snacks con facilidad en plena ruta.</p><h3>Tu combustible, siempre al frente</h3><p>En salidas largas de ruta, gravel o cicloturismo, tener los snacks al alcance marca la diferencia. El Venture Snack Pack Highland Green te permite sacar y guardar comida sin bajarte ni perder el ritmo, con un acceso intuitivo mientras pedaleas.</p><h3>Características principales</h3><ul>
<li>
<strong>Apertura con una sola mano</strong> — cierre con cordón, simple y rápido</li>
<li>
<strong>Cabe botella de 500 ml o 750 ml</strong> — hidratación extra siempre a mano</li>
<li>
<strong>Dos bolsillos de malla externos</strong> — para guardar envoltorios de barras o geles sin ensuciar la bolsa</li>
<li>
<strong>Fijación con múltiples velcros</strong> — se ajusta fácil al manillar de cualquier bicicleta</li>
<li>
<strong>Material resistente al agua</strong> — tus snacks se mantienen secos aunque llueva</li>
<li>
<strong>100% poliéster reciclado</strong> — etiqueta Greensphere AGU, eco-amigable</li>
<li>
<strong>Color Highland Green</strong> — verde musgo natural, ideal para aventuras en ruta y gravel</li>
</ul><h3>Especificaciones técnicas</h3><ul>
<li>
<strong>Marca:</strong> AGU</li>
<li>
<strong>Línea:</strong> Venture</li>
<li>
<strong>Color:</strong> Highland Green</li>
<li>
<strong>Dimensiones:</strong> 9 × 16 × 9 cm</li>
<li>
<strong>Capacidad:</strong> 1 litro</li>
<li>
<strong>Material:</strong> 100% poliéster reciclado</li>
<li>
<strong>Instalación:</strong> Manillar (velcro)</li>
<li>
<strong>Impermeabilidad:</strong> Material resistente al agua</li>
<li>
<strong>EAN:</strong> 8720866097281</li>
</ul><p>Ideal para ciclismo de ruta, gravel, bikepacking y cicloturismo. Disponible en <strong>República Ciclismo, Chile</strong>.</p>",Republica Ciclismo,Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories > Bicycle Bags & Panniers > Bicycle Bags,Bolsas Bikepacking,"accesorios, agu, bikepacking, bolsa-snack, bolso-manillar, bolsos-bicicletas, ciclismo-chile, gravel, venture",true,Title,Default Title,,,,,,,,41504200-586,0.0,shopify,1,deny,manual,29990,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/agu-venture-snack-pack-1l-highland-green_7492cfad-5ad0-408e-9cda-b5bea81e9133.jpg?v=1781787354,1,Bolsa Snack AGU Venture Highland Green - vista uso en ruta,false,Bolsa Snack Manillar Bicicleta AGU Venture Highland Green | Ruta y Gravel,"Bolsa snack AGU Venture Highland Green para manillar. Lleva snacks, geles y una botella extra de 750 ml a mano. 100% reciclado, resistente al agua. Envío a todo Chile.",3778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
bolsa-snack-manillar-bicicleta-agu-venture-highland-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/agu-venture-snack-pack-1l-highland-green_5b01aae8-548c-4a5b-b313-f95244a6bbdb.jpg?v=1781787353,2,Bolsa Snack AGU Venture Highland Green - vista frontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolsa-snack-manillar-bicicleta-agu-venture-highland-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/agu-venture-snack-pack-1l-highland-green_008967a0-8575-425b-9765-4098aba110f8.jpg?v=1781787353,3,Bolsa Snack AGU Venture Highland Green - vista lateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolsa-snack-manillar-bicicleta-agu-venture-highland-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/agu-venture-snack-pack-1l-highland-green_5e4ec12f-3b1d-47ca-97b8-6f8a5f9a27ea.jpg?v=1781787353,4,Bolsa Snack AGU Venture Highland Green - detalle bolsillos malla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolsa-snack-manillar-bicicleta-agu-venture-highland-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/agu-venture-snack-pack-1l-highland-green.jpg?v=1781787353,5,Bolsa Snack AGU Venture Highland Green - montaje manillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaqueta-cortaviento-ciclismo-mujer-agu-essential-negro,Chaqueta Cortaviento Ciclismo Mujer AGU Essential | Negro,"<h3>Cortaviento Ciclismo Mujer AGU Essential Negro Ligero</h3><p>El Cortaviento Ciclismo Mujer AGU Essential Negro es la versión más moderna y ligera de la línea Essential de AGU para el ciclismo femenino. Con recubrimiento repelente al agua libre de PFAS, protege contra el viento y la lluvia ligera sin compromisos ambientales, siendo la prenda perfecta para las salidas con clima variable en Chile durante todo el año.</p><h3>Recubrimiento PFAS-Free de Última Generación</h3><p>La tecnología repelente al agua libre de PFAS representa el estándar más moderno en impermeabilización textil sostenible. Protección eficaz contra la lluvia y el viento sin los compuestos perfluorados que impactan el medioambiente, manteniendo toda la funcionalidad técnica que exige el ciclismo de rendimiento en cualquier condición climática del territorio chileno.</p><h3>Ultra Ligero y Compacto</h3><p>Diseñado para ser el cortaviento de emergencia perfecto: ultra ligero, compacto en el bolsillo trasero de la tricota y con ajuste aerodinámico para ciclismo femenino. El color negro es el más versátil del equipamiento, compatible con cualquier tricota de la gama AGU. Corte femenino optimizado con espalda más larga para cobertura lumbar en posición de pedaleo.</p><h3>Para el Ciclismo en Cualquier Clima de Chile</h3><p>Ideal entre 8°C y 18°C. Imprescindible en cualquier salida larga donde el clima chileno puede cambiar: desde las rutas del Cajón del Maipo con temperaturas cambiantes según la altitud, hasta las rutas costeras con viento marino o los trayectos de otoño en el Valle Central. La protección esencial siempre disponible en el bolsillo trasero.</p>",Agu,,Chaquetas Mujer,"agu, chaqueta-ciclismo, chaquetas-mujer, ciclismo-chile, cortaviento, essential, otono-invierno, ropa-ciclismo-mujer",false,Talla,S,,,,,,,,44861300-000-03,0.0,,0,deny,manual,99990,,true,true,,,,,,,,,false,Chaqueta Cortaviento Ciclismo Mujer AGU Essential Negro | Chile,Chaqueta cortaviento ciclismo mujer AGU Essential negro. Ultra ligera. Corte femenino. DWR libre de PFAS. Tallas S-M. Envío a todo Chile.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,draft
chaqueta-cortaviento-ciclismo-mujer-agu-essential-negro,,,,,,,,,M,,,,,,,,44861300-000-04,0.0,shopify,0,deny,manual,99990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
chaqueta-cortaviento-ciclismo-mujer-agu-essential-negro,,,,,,,,,L,,,,,,,,44861300-000-05,0.0,shopify,0,deny,manual,99990,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
